id;rule_id;original_rule_id;xPath;parent;realName;ECA;operator;nextOperator;value;completeName
295;117;2082796164;applianceState/Bedroom/@scene;bedroom;biorhythmlight;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;bedroom-biorhythmlight
296;118;1782958109;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;event;equal;and;INSIDE;relativeposition-typeofproximity
297;118;1782958109;user/position/relativePosition/@pointOfInterest;relativeposition;pointofinterest;event;equal;and;LIVINGROOM;relativeposition-pointofinterest
298;118;1782958109;environment/dateTime/@localTime;datetime;localtime;event;more;and;22:00;datetime-localtime
299;118;1782958109;applianceState/LivingRoom/@scene;livingroom;relax;action;OPERATOR;NEXTOPERATOR;invokeFunctions:lightScene;livingroom-relax
300;119;1795131732;user/cognitive/@lastConnectionTime;cognitive;lastconnectiontime;condition;more;NEXTOPERATOR;48;cognitive-lastconnectiontime
301;119;1795131732;Reminders;reminders;reminders;action;OPERATOR;NEXTOPERATOR;Please do exercises on the tablet;reminders-reminders
302;120;;technology/appliance/@door;fridge;door;condition;equal;rule;CLOSE;fridge-door
303;120;;Reminders;reminders;reminders;action;OPERATOR;none;The refrigerator door is open.;reminders-reminders
304;121;;environment/dateTime/@localTime;datetime;localtime;event;equal;and;07:30;datetime-localtime
305;121;;environment/currentWeather/@outdoorTemperature;currentweather;outdoortemperature;condition;lessthen;rule;14;currentweather-outdoortemperature
306;121;;Reminders;reminders;reminders;action;OPERATOR;none;Remember to take your scarf and gloves!;reminders-reminders
307;122;;environment/@motion;bedroom;motion;condition;equal;rule;VALUE;bedroom-motion
308;122;;Alarms;alarms;alarms;action;OPERATOR;sequential;Wake up, you'll be late.;alarms-alarms
309;122;;applianceState/Bedroom/@scene;bedroom;activate;action;OPERATOR;none;invokeFunctions:lightScene;bedroom-activate
310;123;;user/position/timeInsideARoom/@timeInsideBedroom;timeinsidearoom;timeinsidebedroom;condition;morethen;and;20;timeinsidearoom-timeinsidebedroom
311;123;;technology/light/@state;bedroomlight;state;condition;equal;rule;ON;bedroomlight-state
312;123;;Alarms;alarms;alarms;action;OPERATOR;sequential;Energy saving mode activated.;alarms-alarms
313;123;;applianceState/Bedroom/@scene;bedroom;relax;action;OPERATOR;none;invokeFunctions:lightScene;bedroom-relax
314;124;;user/personalData/@age;personaldata;age;condition;morethen;and;70;personaldata-age
315;124;;technology/light/@state;bedroomportablelight;state;event;equal;rule;ON;bedroomportablelight-state
316;124;;applianceState/Corridor/lightColor;corridor;light strip corridor;action;OPERATOR;parallel;update:lightColor;corridor-light strip corridor
317;124;;Reminders;reminders;reminders;action;OPERATOR;none;The bedside light is on;reminders-reminders
318;125;;technology/light/@brightness;bedroomportablelight;brightness;event;morethen;rule;100;bedroomportablelight-brightness
319;125;;Reminders;reminders;reminders;action;OPERATOR;none;Lower the brightness;reminders-reminders
320;126;;environment/@doorWindowSensor;entrance;doorsensor;event;equal;or;OPEN;entrance-doorsensor
321;126;;environment/@doorWindowSensor;livingroom;windowsensor;event;equal;rule;OPEN;livingroom-windowsensor
322;126;;Reminders;reminders;reminders;action;OPERATOR;none;Close doors and / or windows;reminders-reminders
323;127;;user/physiological/@steps;physiological;steps;condition;morethen;rule;500;physiological-steps
324;127;;applianceState/all/@scene;all;biorhythmlight;action;OPERATOR;parallel;invokeFunctions:lightScene;all-biorhythmlight
325;127;;Alarms;alarms;alarms;action;OPERATOR;none;Increase physical activity;alarms-alarms
326;128;;environment/@smokeSensor;kitchen;smokesensor;event;equal;and;VALUE;kitchen-smokesensor
327;128;;technology/light/@brightness;kitchenlight;brightness;event;lessthen;rule;30;kitchenlight-brightness
328;128;;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;parallel;update:lightColor;kitchen-hue color light kitchen
329;128;;Alarms;alarms;alarms;action;OPERATOR;none;some smoke comes from the kitchen;alarms-alarms
330;129;;technology/appliance/@door;fridge;door;condition;equal;and;OPEN;fridge-door
331;129;;user/personalData/@age;personaldata;age;condition;morethen;rule;75;personaldata-age
332;129;;applianceState/Kitchen/allLight;kitchen;alllight;action;OPERATOR;parallel;invokeFunctions:changeApplianceState;kitchen-alllight
333;129;;Reminders;reminders;reminders;action;OPERATOR;none;Close the fridge door;reminders-reminders
334;130;;technology/light/@state;livingroomlight;state;condition;equal;and;OFF;livingroomlight-state
335;130;;environment/dateTime/@localTime;datetime;localtime;event;equal;rule;07:00;datetime-localtime
336;130;;Alarms;alarms;alarms;action;OPERATOR;sequential;Accese le luci;alarms-alarms
337;130;;applianceState/LivingRoom/allLight;livingroom;alllight;action;OPERATOR;none;invokeFunctions:changeApplianceState;livingroom-alllight
338;131;;technology/appliance/@door;fridge;door;condition;equal;rule;OPEN;fridge-door
339;131;;Reminders;reminders;reminders;action;OPERATOR;none;Porta del frigo aperta;reminders-reminders
340;132;;technology/light/@state;bedroomportablelight;state;condition;equal;and;ON;bedroomportablelight-state
341;132;;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;event;inside;rule;BEDROOM;relativeposition-typeofproximity
342;132;;applianceState/Bedroom/allLight;bedroom;alllight;action;OPERATOR;sequential;invokeFunctions:changeApplianceState;bedroom-alllight
343;132;;Reminders;reminders;reminders;action;OPERATOR;none;Lights on!;reminders-reminders
344;133;;user/cognitive/@emotionalState;cognitive;emotionalstate;condition;equal;rule;HAPPY;cognitive-emotionalstate
345;133;;Alarms;alarms;alarms;action;OPERATOR;sequential;Call mum;alarms-alarms
346;133;;applianceState/LivingRoom/allLight;livingroom;alllight;action;OPERATOR;none;invokeFunctions:changeApplianceState;livingroom-alllight
347;134;;environment/dateTime/@localTime;datetime;localtime;event;equal;and;06:50;datetime-localtime
348;134;;environment/dateTime/@localDate;datetime;localdate;condition;equal;rule;09/02/2019;datetime-localdate
349;134;;Reminders;reminders;reminders;action;OPERATOR;none;Wake up;reminders-reminders
350;135;;technology/appliance/@door;fridge;door;condition;equal;rule;OPEN;fridge-door
351;135;;Reminders;reminders;reminders;action;OPERATOR;none;Close the fridge door;reminders-reminders
352;136;;environment/@temperatureLevel;bedroom;temperaturelevel;event;lessthen;and;22;bedroom-temperaturelevel
353;136;;environment/dateTime/@localTime;datetime;localtime;condition;equal;rule;22:00;datetime-localtime
354;136;;Reminders;reminders;reminders;action;OPERATOR;none;Set the heat to 22 degrees ;reminders-reminders
355;137;;user/cognitive/@trainingTime;cognitive;trainingtime;condition;equal;rule;60;cognitive-trainingtime
356;137;;applianceState/LivingRoom/@scene;livingroom;relax;action;OPERATOR;sequential;invokeFunctions:lightScene;livingroom-relax
357;137;;Alarms;alarms;alarms;action;OPERATOR;none;You have to train for at least 60 minutes a day!;alarms-alarms
358;138;;environment/twentyFourHoursWeatherForecast/@rain;twentyfourhoursweatherforecast;rain;condition;equal;and;TRUE;twentyfourhoursweatherforecast-rain
359;138;;technology/light/@state;greatluminaire;state;condition;equal;rule;ON;greatluminaire-state
360;138;;Alarms;alarms;alarms;action;OPERATOR;sequential;Remember that tomorrow will rain;alarms-alarms
361;138;;applianceState/LivingRoom/lightColor;livingroom;hue color light living room;action;OPERATOR;none;update:lightColor;livingroom-hue color light living room
362;139;;user/position/relativePosition/@typeOfProximity;relativeposition;typeofproximity;condition;outside;and;BEDROOM;relativeposition-typeofproximity
363;139;;technology/light/@state;bedroomlight;state;event;equal;rule;ON;bedroomlight-state
364;139;;Reminders;reminders;reminders;action;OPERATOR;sequential;you turned on the light by mistake;reminders-reminders
365;139;;applianceState/Bedroom/allLight;bedroom;alllight;action;OPERATOR;none;invokeFunctions:changeApplianceState;bedroom-alllight
366;140;;technology/appliance/@door;fridge;door;condition;equal;rule;OPEN;fridge-door
367;140;;Reminders;reminders;reminders;action;OPERATOR;none;Close fridge's door;reminders-reminders
368;141;;environment/currentWeather/@rain;currentweather;rain;event;equal;and;TRUE;currentweather-rain
369;141;;environment/@doorWindowSensor;livingroom;windowsensor;condition;equal;rule;OPEN;livingroom-windowsensor
370;141;;Alarms;alarms;alarms;action;OPERATOR;none;Close the windows;alarms-alarms
371;142;;user/activity/@medicationName;activity;medicationname;condition;equal;rule;cardio aspirina;activity-medicationname
372;142;;applianceState/Kitchen/lightColor;kitchen;hue color light kitchen;action;OPERATOR;sequential;update:lightColor;kitchen-hue color light kitchen
373;142;;Alarms;alarms;alarms;action;OPERATOR;none;Cardioaspirina;alarms-alarms
374;143;;environment/@temperatureLevel;bedroom;temperaturelevel;condition;lessthen;and;13;bedroom-temperaturelevel
375;143;;technology/light/@color;bedroomlight;color;condition;equal;rule;AZURE;bedroomlight-color
376;143;;applianceState/Bedroom/allLight;bedroom;alllight;action;OPERATOR;sequential;invokeFunctions:changeApplianceState;bedroom-alllight
377;143;;Alarms;alarms;alarms;action;OPERATOR;none;Low temperature in bedroom;alarms-alarms
378;144;;user/activity/@wakingup;activity;wakingup;event;equal;and;TRUE;activity-wakingup
379;144;;technology/light/@state;bedroomportablelight;state;condition;equal;rule;ON;bedroomportablelight-state
380;144;;Reminders;reminders;reminders;action;OPERATOR;sequential;Wake up;reminders-reminders
381;144;;applianceState/Bathroom/allLight;bathroom;alllight;action;OPERATOR;none;invokeFunctions:changeApplianceState;bathroom-alllight
382;145;;technology/appliance/@door;fridge;door;condition;equal;rule;OPEN;fridge-door
383;145;;Reminders;reminders;reminders;action;OPERATOR;none;Remember to close the fridge;reminders-reminders
384;146;;environment/currentWeather/@outdoorCondition;currentweather;outdoorcondition;event;equal;and;THUNDERSTORM;currentweather-outdoorcondition
385;146;;environment/@doorWindowSensor;livingroom;windowsensor;condition;equal;rule;OPEN;livingroom-windowsensor
386;146;;Reminders;reminders;reminders;action;OPERATOR;none;Remember to close the windows;reminders-reminders
387;147;;environment/@doorWindowSensor;entrance;doorsensor;condition;equal;rule;CLOSE;entrance-windowsensor
388;147;;Alarms;alarms;alarms;action;OPERATOR;sequential;Be careful, thiefs!;alarms-alarms
389;147;;applianceState/all/allLight;all;alllight;action;OPERATOR;none;invokeFunctions:changeApplianceState;all-alllight
390;148;;environment/@gasSensor;kitchen;gassensor;condition;equal;and;TRUE;kitchen-gassensor
