;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
331;16;Ordini Amazon;comfort;evento;no;corriere;rileva vicinanza corriere;uguale;TRUE;AND;Quando c'è qualcuno in casa;data
332;16;Ordini Amazon;comfort;condizione;no;ordine;rileva ordine ;uguale;TRUE;;Quando c'è qualcuno in casa;data
333;16;Ordini Amazon;comfort;azione;outside home;cancello;apri cancello;uguale;ON;AND;Quando c'è qualcuno in casa;entrances
334;16;Ordini Amazon;comfort;azione;no;cellulare;invia messaggio;/;"""ordine in arrivo""";;Quando c'è qualcuno in casa;notification
335;16;Spazio esterno;energy saving/comfort;evento;garden;sensore di movimento;rileva persone;uguale;FALSE;AND;Se non c'è nessuno in giardino;presence
336;16;Spazio esterno;energy saving/comfort;condizione;no;stagione;stagione;uguale;TRUE;AND;Se non c'è nessuno in giardino;weather
337;16;Spazio esterno;energy saving/comfort;condizione;garden;orario;orario;compreso;22:00- 00:00;;Se non c'è nessuno in giardino;scheduling
338;16;Spazio esterno;energy saving/comfort;azione;garden;irrigatore;attiva l'irrigatore;uguale;ON;AND;Se non c'è nessuno in giardino;gardening
339;16;Spazio esterno;energy saving/comfort;azione;garden;luci;accendere le luci;uguale;ON;;Se non c'è nessuno in giardino;lights
340;17;Stop musica;energy saving;condizione ;home;movimento;rilevato movimento;uguale;TRUE;AND;;presence
341;17;Stop musica;energy saving;azione;home;infrarossi porta ;spegnimento;uguale;Porta chiusa;/;;entrances
342;17;Ciotola mai vuota;comfort/wellbeing;evento;no;Sensore di movimento;annusare;uguale;TRUE;NOT;;pets
343;17;Ciotola mai vuota;comfort/wellbeing;condizione ;no;sensore di livello;livello ciotola;uguale;piena;And;;pets
344;17;Ciotola mai vuota;comfort/wellbeing;condizione;no;ora;tipo di ora;uguale;selezione utente;;;scheduling
345;17;Ciotola mai vuota;comfort/wellbeing;azione;no;ciotola;riempimento;uguale;MAX ;;;pets
346;17;scale anziani;health/wellbeing;evento;home ;posizione ;posizione utente;uguale;montascale;and;;presence
347;17;scale anziani;health/wellbeing;condizione;home ;rilevatore di pressione ;rilevamento pressione;uguale;TRUE;/;;user detection
348;17;scale anziani;health/wellbeing;Azione;no;montascale;notifica sonora;uguale;"""Salve""";and;;notification
349;17;scale anziani;health/wellbeing;azione;home ;montascale;salita;uguale;TRUE;OR;;systems
350;17;scale anziani;health/wellbeing;azione;home;montascale;discesa;uguale;TRUE;;;systems
351;17;Butta rifiuti;comfort;condizione ;home ;rilevatore di livello;livello contenitore;uguale;pieno;And;;hygiene
352;17;Butta rifiuti;comfort;condizione ;no;data;Giorno di raccolta;uguale;"""domani""";/;;scheduling
353;17;Butta rifiuti;comfort;azione;no;cellulare;messaggio;uguale;data giorno successivo;And;;notification
354;17;Butta rifiuti;comfort;azione;no;cellulare;notifica sonora;uguale;TRUE;;;notification
355;17;agenda allenamenti;health/wellbeing;evento;home ;bilancia impedenziometrica;pesare ;uguale;TRUE;AND;;user detection
