;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context
235;12;Vestiti asciutti;comfort;evento;no;meteo;pioggia;uguale;TRUE;/;
236;12;Vestiti asciutti;comfort;azione;outside home;stendibiancheria;apri/chiudi;uguale;                          CHIUSO;/;
237;12;Aria calda;comfort/security;evento;bathroom;radiatore;accensione;uguale;FALSE;And;
238;12;Aria calda;comfort/security;azione;bathroom;caldaia;reset;uguale;TRUE;/;
239;12;Aria calda;comfort/security;azione;bathroom;acqua;aumenta di pressione ;uguale;TRUE;/;
240;12;Pollice verde;energy saving;evento;garden;sensore igrometrico;rilevazione scarsa umidità;uguale;TRUE;And;
241;12;Pollice verde;energy saving;condizione;no;ora;orario;tra;10:00 - 14:00;And;
242;12;Pollice verde;energy saving;azione;garden;innaffiamento;attiva / disattiva;uguale;TRUE;/;
243;12;Relax in casa;comfort/wellbeing;condizione;no;luce ;presenza;uguale;TRUE;And;
244;12;Relax in casa;comfort/wellbeing;condizione;no;posizione;posizione utente ;uguale;TRUE;And;
245;12;Relax in casa;comfort/wellbeing;azione;current room;avvolgibile;solleva / abbassa;uguale;TRUE;/;
246;12;Relax in casa;comfort/wellbeing;azione;current room;tenda ;apri/chiudi;uguale;                          CHIUSO;/;
247;12;Preallarme;security;evento;entrance;porta di casa ;apertura / chiusura;uguale;TRUE;And;
248;12;Preallarme;security;condizione;home;utente;rilevamento utente;uguale;TRUE;And;
249;12;Preallarme;security;azione;no;sms;invio;uguale;TRUE;/;
250;12;Preallarme;security;azione;no;preallarme;attiva/disattiva;uguale;TRUE;/;
251;12;Il caffè del mattino;comfort/health;evento;bedroom;sensore di presenza a letto;rilevazione utente ;uguale;TRUE;And;
252;12;Il caffè del mattino;comfort/health;condizione;no;ora;orario;tra;7:30-8:30;And;
253;12;Il caffè del mattino;comfort/health;condizione;no;smart watch;rilevazione battito cardiaco;tra;60-80;/;
254;12;Il caffè del mattino;comfort/health;azione;kitchen;macchina del caffè;accensione / spegnimento;uguale;TRUE;And;
255;12;Il caffè del mattino;comfort/health;azione;kitchen;avvolgibile;solleva / abbassa;uguale;TRUE;/;
256;13;Letto riscaldato;comfort;evento;no;data e ora;orario;uguale;20:00;/;
257;13;Letto riscaldato;comfort;azione;bedroom;scaldasonno;accensione;uguale;VERO;/;
258;13;Piante innaffiate;comfort;evento;garden;sensore;rilevatore movimento;NOT;VERO;/;
259;13;Piante innaffiate;comfort;azione;garden;irrigatore;accensione;uguale;ON;And;
260;13;Piante innaffiate;comfort;azione;no;telefono;invio notifica;uguale;"""Irrigatore attivato""";/;
261;13;Vapore in cucina;comfort;evento;kitchen;umidità;misuratore umidità;uguale;0,7;And;
262;13;Vapore in cucina;comfort;condizione;kitchen;finestra;apri/chiudi;uguale;        CHIUDI;/;
263;13;Vapore in cucina;comfort;azione;kitchen;vortice;accensione;uguale;ON;/;
264;13;Aria viziata;wellbeing;condizione;kitchen;pattumiera;rilevata piena;uguale;VERO;And;
265;13;Aria viziata;wellbeing;condizione;kitchen;finestra;apri/chiudi;uguale;CHIUDI;/;
266;13;Aria viziata;wellbeing;azione;home;profumatore ambiente;accensione;uguale;ON;And;
267;13;Aria viziata;wellbeing;azione;no;telefono;invio notifica;uguale;"""Urge buttare la spazzatura""";/;
268;13;Illuminazione crepuscolo;comfort/energy saving;evento;outside home;movimento;rilevato movimento;uguale;VERO;And;
269;13;Illuminazione crepuscolo;comfort/energy saving;condizione;no;data e ora ;orario;tra;18:00 - 19:00;/;
270;13;Illuminazione crepuscolo;comfort/energy saving;azione;outside home;contapassi;accensione;uguale;ON;And;
271;13;Illuminazione crepuscolo;comfort/energy saving;azione;veranda;luci;accensione;uguale;ON;/;
272;13;Pulizie settimanali;comfort/energy saving;evento;no;data e ora;orario;uguale;09:00;And;
273;13;Pulizie settimanali;comfort/energy saving;condizione;home;sensore movimento;presenza;uguale;FALSO;/;
274;13;Pulizie settimanali;comfort/energy saving;condizione;no;data e ora;tipo di giorno;uguale;festivo;And;
275;13;Pulizie settimanali;comfort/energy saving;azione;living room;robottino;accensione;uguale;ON;And;
276;13;Pulizie settimanali;comfort/energy saving;azione;dedicated room;lavatrice;accensione;uguale;ON;/;
277;14;Posta Ricevuta;comfort;condizione;outside home;sensore cassetta posta;rileva peso contenuto;Maggiore;0;;
278;14;Posta Ricevuta;comfort;azione;home;lampadina notifica;accensione;Uguale;ON;;
279;14;Allarme Gatto ;safety;condizione;home;videocamere;rileva presenza gatto;uguale;FALSE;;
280;14;Allarme Gatto ;safety;azione;no;collare gatto;avviso sonoro;uguale;ON;AND;
281;14;Allarme Gatto ;safety;azione;no;telefono;notifica;/;"""Posizione collare GPS""";;
282;14;Controllo Chiavi;comfort/safety;evento;home; porta ingresso;apri / chiudi (dall'interno);uguale;APRI;AND;
283;14;Controllo Chiavi;comfort/safety;condizione;no;lettore RFID porta;rileva portachiavi RFID;uguale;FALSE;;
284;14;Controllo Chiavi;comfort/safety;azione;home;citofono interno;notifica vocale;;"""Ricordati le chiavi!""";;
285;14;Annaffia piante casa;comfort;condizione;veranda;sensore umidità vaso;rileva umidità terreno;minore;0,6;AND;
286;14;Annaffia piante casa;comfort;condizione;no;data e ora;orario;tra;20:00 - 6:00;;
287;14;Annaffia piante casa;comfort;azione;veranda;lampada UV;accensione;uguale;OFF;AND;
288;14;Annaffia piante casa;comfort;azione;veranda;irrigatore automatico;accensione;uguale;ON;;
289;14;chiamata emergenza automatica;safety;evento;home;allarme antincendio;accensione;uguale;TRUE;OR;
290;14;chiamata emergenza automatica;safety;condizione;home;impianto elettrico;accensione;uguale;OFF;;
291;14;chiamata emergenza automatica;safety;azione;home;luci ausiliare;accensione;uguale;ON;AND;
292;14;chiamata emergenza automatica;safety;azione;no;telefono;avvia chiamata di emergenza;uguale;ON;;
293;14;Controllo perdite acqua;energy saving;evento;kitchen;rubinetto;aperto/chiuso;uguale;CHIUSO;AND;
294;14;Controllo perdite acqua;energy saving;condizione;home;rubinetti;aperti/chiusi;uguale;CHIUSI;AND;
295;14;Controllo perdite acqua;energy saving;condizione;home;contatore acqua;conteggio consumo;uguale;ON;;
296;14;Controllo perdite acqua;energy saving;azione;home;impianto idrico;chiuso/aperto;uguale;CHIUSO;AND;
297;14;Controllo perdite acqua;energy saving;azione;no;telefono;notifica;/;"""Rilevata possibile perdita!""";;
298;15;easy coffee;comfort;condizione ;no;data e ora ;orario ;uguale;08:00;;
299;15;easy coffee;comfort;azione;kitchen ;caffettiera ;accesa ;uguale;TRUE;;
300;15;Spia fornelli;safety;condizione;kitchen;fornello;acceso/spento ;uguale;acceso ;AND ;
